Frente;Reverso;Tags
¿Qué es un escaneo DAST?;Dynamic Application Security Testing. Analiza aplicación en ejecución. Detecta vulnerabilidades runtime (XSS, SQLi). Herramienta: OWASP ZAP.;devsecops seguridad dast avanzado
¿Qué es un Software Bill of Materials (SBOM)?;Lista completa de componentes y dependencias de software. En DevSecOps permite rastrear vulnerabilidades (Log4Shell) rápidamente.;devsecops seguridad sbom avanzado
¿Qué es un contenedor rootless?;Contenedor que no requiere privilegios root para ejecutar. Mejora seguridad: si se compromete contenedor, no compromete host. Ej: Podman rootless.;contenedor seguridad rootless avanzado
Diferencia: Docker vs Podman;Docker usa daemon root (punto único de fallo). Podman no usa daemon, es rootless por defecto, más seguro. Comandos son compatibles.;contenedor docker podman avanzado
¿Qué es un secret en Kubernetes?;Objeto que almacena contraseñas, tokens, claves API. Se monta como volumen o variable entorno en pods. Evita hardcodear secretos.;contenedor kubernetes secret avanzado
¿Qué es un ConfigMap en Kubernetes?;Almacena configuración no sensible (archivos, variables). Separa configuración de código. Similar a secret pero no encriptado.;contenedor kubernetes configmap avanzado
¿Qué es un sidecar container en Kubernetes?;Patrón: contenedor auxiliar que extiende funcionalidad del principal (ej: logging, proxy, monitorización). Comparte network namespace.;contenedor kubernetes sidecar avanzado
¿Qué es un DaemonSet?;Garantiza que un pod se ejecute en TODOS los nodos del cluster. Usado para logs/monitorización (ej: Fluentd).;contenedor kubernetes daemonset avanzado
¿Qué es un StatefulSet?;Para aplicaciones con estado persistente (bases datos). Garantiza orden, identidad única y almacenamiento estable. Diferente a Deployment (stateless).;contenedor kubernetes statefulset avanzado
Diferencia: Deployment vs StatefulSet;Deployment: pods idénticos, stateless, se reinicia sin orden. StatefulSet: pods únicos, stateful, orden establecido, almacenamiento persistente.;contenedor kubernetes comparacion avanzado
¿Qué es un Persistent Volume (PV)?;Almacenamiento en cluster Kubernetes independiente de ciclo vida pods. Administra admin. Los pods reclaman con PVC.;contenedor kubernetes storage avanzado
¿Qué es un PVC?;PersistentVolumeClaim. Solicitud de almacenamiento por parte de un pod. Kubernetes encuentra PV que cumpla requisitos y lo enlaza.;contenedor kubernetes storage avanzado
¿Qué es un Ingress Controller?;Gestiona acceso HTTP/HTTPS externo a servicios dentro de cluster. Proporciona routing, SSL termination, balanceo. Ej: nginx-ingress.;contenedor kubernetes red avanzado
¿Qué es un Service Mesh?;Capa de infraestructura que gestiona comunicación entre microservicios: encryption, balanceo, retries, observabilidad. Ej: Istio, Linkerd.;contenedor kubernetes microservicios avanzado
Diferencia: Monolito vs Microservicios en contenedores;Monolito: una app grande, difícil escalar, despliegue lento. Microservicios: apps pequeñas en contenedores, escala independiente, despliegue rápido, tolerante fallos.;contenedor arquitectura avanzado
¿Qué es un chaos engineering?;Práctica de probar resiliencia introduciendo fallos controlados (matar pods, saturar CPU). En DevSecOps valida que seguridad funciona bajo stress.;devsecops chaos_engineering avanzado
¿Qué es un zero trust model?;No confía por defecto en nadie, incluso dentro de red. Verifica cada conexión. Implementa en DevSecOps con mTLS, identidad por servicio.;devsecops seguridad zero_trust avanzado
¿Qué es GitOps?;Práctica donde Git es fuente única de verdad. Todo (infra, config, código) versionado en Git. Pipeline CI/CD responde a commits.;devsecops gitops avanzado
Diferencia: Shift left vs Shift right security;Shift left: pruebas seguridad temprano (dev). Shift right: monitoriza seguridad en producción (ops). DevSecOps hace ambos.;devsecops seguridad estrategia avanzado
¿Qué es un pentest?;Prueba de penetración: simula ataque hacker para encontrar vulnerabilidades. En DevSecOps se automatiza con herramientas (Metasploit).;devsecops seguridad pentest avanzado
¿Qué es un bug bounty?;Programa donde recompensas a hackers por encontrar vulnerabilidades. Complementa DevSecOps con testing externo.;devsecops seguridad bug_bounty avanzado
Diferencia: CVE vs CVSS;CVE: identificador único vulnerabilidad. CVSS: score 0-10 de gravedad. Snyk usa ambos para priorizar riesgos.;devsecops seguridad avanzado
¿Qué es un firewall de próxima generación (NGFW)?;Firewall tradicional + IPS, antivirus, filtrado app, TLS inspection. En cloud: AWS Network Firewall, Azure Firewall.;seguridad ngfw cloud avanzado
¿Qué es un WAF?;Web Application Firewall. Protege apps web de ataques (SQLi, XSS). Opera en capa 7. Ej: AWS WAF, Cloudflare.;seguridad waf aplicacion avanzado
Diferencia: WAF vs firewall tradicional;Firewall: controla tráfico red (capa 3-4). WAF: controla tráfico app (capa 7), entiende HTTP y protege vulnerabilidades específicas.;seguridad comparacion avanzado
¿Qué es un DDoS y cómo mitigar en cloud?;Distributed Denial of Service: ataque con tráfico masivo. Cloud mitiga con scrubbing centers (AWS Shield, Azure DDoS Protection) que filtran tráfico malicioso antes de llegar.;seguridad ddos cloud avanzado
¿Qué es el modelo OSI?;Modelo de 7 capas para comunicación de red: Física, Enlace, Red, Transporte, Sesión, Presentación, Aplicación. TCP/IP es similar pero 4 capas.;redes osi modelo intermedio
Diferencia OSI vs TCP/IP;OSI: 7 capas, teórico, completo. TCP/IP: 4 capas, práctico, usado en Internet. TCP/IP combina Sesión/Presentación en Aplicación.;redes osi tcpip comparacion intermedio
¿Qué es una trama Ethernet?;PDU nivel 1 (Acceso a Red). Contiene: preamble, MAC origen/destino, payload, CRC. Se envía como bits por cable.;redes ethernet trama intermedio
¿Qué es una dirección MAC?;Identificador único de 48 bits de tarjeta red. Ej: 00:1A:2B:3C:4D:5E. Opera nivel 2 (Enlace).;redes mac direccion basico
Diferencia MAC vs IP;MAC: identifica físicamente dispositivo en red local (nivel 2). IP: identifica lógicamente en red (nivel 3). MAC no cambia, IP puede cambiar.;redes mac_ip comparacion intermedio
¿Qué es un VLAN?;Virtual LAN. Divide switch físico en múltiples redes lógicas aisladas. Comunicación entre VLANs requiere router. Mejora seguridad.;redes vlan switch avanzado
¿Qué es STP?;Spanning Tree Protocol. Evita bucles de red en topologías con switches redundantes. Desactiva puertos redundantes temporalmente.;redes stp protocolo avanzado
¿Qué es un puerto trunk?;Puerto switch que transporta múltiples VLANs. Usa etiquetado 802.1Q. Conecta switches o a router.;redes vlan trunk avanzado
¿Qué es un puerto access?;Puerto switch que pertenece a UNA VLAN. Conecta dispositivos finales (PCs).;redes vlan access avanzado
Diferencia: Router L3 vs Switch L2;Router: opera nivel 3, enruta entre redes (IP). Switch: opera nivel 2, conmuta dentro red (MAC). Switch no enruta entre redes.;redes router_switch comparacion intermedio
¿Qué es un gateway por defecto?;IP del router que conecta tu red local con Internet. Origen envía tráfico desconocido al gateway. Ej: 192.168.1.1;redes gateway funcion basico
¿Qué es un AP WiFi?;Access Point. Dispositivo que permite conexión inalámbrica a red cableada. Opera en capa 2. Ej: routers domésticos con WiFi.;redes wifi ap basico
¿Qué es una red MAN?;Metropolitan Area Network. Red entre 10-100 km, conecta LANs en ciudad. Ej: red universidad con varios campus.;redes man definicion intermedio
Diferencia LAN vs WAN;LAN: local (<10 km), alta velocidad, tu control. WAN: amplia (ciudades/países), menor velocidad, proveedor controla.;redes lan_wan comparacion intermedio
¿Qué es MPLS?;Multi-Protocol Label Switching. Tecnología WAN que prioriza tráfico con etiquetas. Garantiza QoS. Usado por operadores.;redes wan mpls avanzado
¿Qué es ancho de banda?;Cantidad máxima datos que puede transmitir enlace por unidad tiempo (Mbps, Gbps). No es lo mismo que velocidad real.;redes ancho_banda definicion basico
Diferencia: Ancho de banda vs Latencia;Ancho de banda: capacidad máxima. Latencia: tiempo viaje ida-vuelta (ms). Puedes tener alto ancho de banda pero alta latencia (satélite).;redes latencia comparacion intermedio
¿Qué es jitter en redes?;Variación en latencia de paquetes. Afecta VoIP y videoconferencia. Jitter alto causa paquetes descartados.;redes jitter problema intermedio
¿Qué es TCP BBR?;Algoritmo de control congestión TCP desarrollado por Google. Maximiza throughput y reduce latencia. Usado en centros datos.;redes tcp algoritmo avanzado
¿Qué es QUIC?;Protocolo de Google en capa transporte sobre UDP. Usado en HTTP/3. Reduce latencia conexión (0-RTT). Más rápido que TCP en pérdidas.;redes quic protocolo avanzado
Diferencia HTTP/2 vs HTTP/3;HTTP/2: sobre TCP, multiplexado. HTTP/3: sobre QUIC (UDP), 0-RTT, mejor en pérdidas. HTTP/3 es futuro web.;redes http protocolo avanzado
¿Qué es un proxy inverso?;Servidor que recibe peticiones Internet y las envía a servidores backend. Proporciona seguridad, SSL, cache. Ej: nginx, HAProxy.;redes proxy inverso intermedio
¿Qué es un proxy forward?;Servidor que recibe peticiones clientes internas y las envía a Internet. Controla acceso, logging. Ej: Squid.;redes proxy forward intermedio
¿Qué es un VPN?;Virtual Private Network. Túnel cifrado sobre red pública (Internet). Permite acceso seguro a red privada remota. Usa IPSec o TLS.;redes vpn seguridad intermedio
Diferencia: Site-to-Site vs Client-to-Site VPN;Site-to-Site: conecta dos redes fijas (oficinas). Client-to-Site: conecta usuario individual a red corporativa.;redes vpn tipos avanzado
¿Qué es WireGuard?;Protocolo VPN moderno, ligero y rápido. Usa criptografía más simple que IPSec. Integrado en kernel Linux.;redes vpn wireguard avanzado
¿Qué es BGP?;Border Gateway Protocol. Protocolo de enrutamiento entre sistemas autónomos (Internet). Intercambia rutas entre operadores.;redes bgp protocolo avanzado
¿Qué es un AS?;Autonomous System. Red grande bajo una administración (ej: Google AS15169). Tiene identificador único. Usa BGP para comunicarse.;redes as bgp avanzado
¿Qué es una tabla de rutas?;Lista de redes conocidas y próximo salto (next hop) para cada una. Router usa tabla para decidir dónde enviar paquetes.;redes router tabla avanzado
Diferencia: Ruta estática vs dinámica;Estática: configurada manualmente. No cambia. Dinámica: aprendida vía protocolos (BGP, OSPF). Se adapta automáticamente.;redes router comparacion intermedio
¿Qué es OSPF?;Open Shortest Path First. Protocolo de enrutamiento interno (IGP) para redes empresariales. Usa métrica costo. Converge rápido.;redes ospf protocolo avanzado
¿Qué es un ACL?;Access Control List. Lista reglas que permite/deniega tráfico. Puede ser en router (red) o firewall (app). Orden importa.;seguridad acl red avanzado
Diferencia: ACL estándar vs extendida;Estándar: filtra solo por IP origen (1-99). Extendida: filtra IP origen/destino, puerto, protocolo (100-199).;seguridad acl comparacion avanzado
¿Qué es Zero Trust Architecture?;Modelo seguridad que no confía en nadie por defecto. Verifica identidad, dispositivo, contexto CADA conexión. Elimina perímetro red.;seguridad zero_trust arquitectura avanzado
¿Qué es mTLS?;Mutual TLS. Cliente y servidor se autentican mutuamente con certificados. Usado en service mesh. Previene spoofing.;seguridad tls mTLS avanzado
¿Qué es un Service Account?;Identidad para proceso/app en Kubernetes. No es usuario humano. Permite acceso controlado a recursos.;seguridad kubernetes avanzado
¿Qué es una política de seguridad en Kubernetes?;NetworkPolicy: define qué pods pueden comunicarse. Limita tráfico lateral (east-west). Esencial zero trust.;seguridad kubernetes policy avanzado
¿Qué es un Pod Security Policy?;Controla configuración seguridad pods (no root, SELinux). Deprecado en K8s 1.21, reemplazado por Pod Security Standards.;pod_security kubernetes avanzado
¿Qué es Runtime Security?;Monitoriza y protege contenedores en ejecución. Detecta anomalías (ej: Falco). Parte de DevSecOps post-deployment.;devsecops seguridad runtime avanzado
¿Qué es Shift Left on Security?;Mover pruebas seguridad al inicio desarrollo. Detecta vulnerabilidades cuando son baratas de corregir, no en producción.;devsecops_strategy avanzado
Diferencia: SAST vs DAST vs IAST;SAST: análisis estático código fuente. DAST: análisis dinámico app ejecutándose. IAST: agente dentro app monitorea runtime.;devsecops seguridad comparacion avanzado
¿Qué es un CVE-2021-44228?;Log4Shell: vulnerabilidad crítica Log4j. Permite RCE. Ejemplo de por qué SBOM es crucial para rastrear dependencias vulnerables.;devsecops seguridad log4shell avanzado
¿Qué es un secret scanning?;Escaneo repositorios Git para detectar claves, tokens, contraseñas committeadas. Herramienta: GitGuardian, TruffleHog.;devsecops seguridad secretos avanzado
Diferencia: Blue Team vs Red Team;Blue Team: defiende (monitoriza, responde). Red Team: ataca (simula adversario). DevSecOps colabora con ambos.;devsecops seguridad equipos avanzado
¿Qué es un pentest autorizado?;Ataque simulado con permiso para encontrar vulnerabilidades. Resultados en informe con recomendaciones. Se hace 1-2 veces/año.;devsecops seguridad pentest intermedio
¿Qué es un bug bounty?;Programa recompensa hackers encontrar vulnerabilidades. Complementa pentests. Ej: HackerOne, Bugcrowd.;devsecops seguridad bug_bounty intermedio
¿Qué es un ransomware?;Malware encripta datos y pide rescate. DevSecOps previene con backups, segmentación red, endpoint protection.;seguridad ransomware amenaza intermedio
¿Qué es el GDPR Artículo 25?;Privacidad por diseño y por defecto. Obliga medidas técnicas/organizativas desde diseño. DevSecOps ayuda a cumplirlo.;devsecops gdpr legal avanzado
¿Qué es un DPIA?;Data Protection Impact Assessment. Análisis impacto privacidad obligatorio para riesgos altos. DevSecOps documenta controles.;devsecops gdpr dpia avanzado
¿Qué es un data breach?;Violación seguridad que expone datos personales. GDPR obliga notificar en 72h. DevSecOps tiene runbooks para respuesta.;seguridad breach gdpr intermedio
¿Qué es un runbook?;Documento paso-a-paso para incidentes (ej: breach). Define quién hace qué, comunicación, evidencia. Parte de DevSecOps incident response.;devsecops incident_runbook avanzado
